scope,requested_budget,stratum,metric,delta_definition,favorable_direction,paired_seed_records,unique_task_clusters,mean_delta,median_delta,cluster_mean_delta,bootstrap_ci_low,bootstrap_ci_high,lookahead_wins,ties,lookahead_losses
A4_HUMAN_Seuma_2022,20,ALL_TASKS,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,120,40,-0.06113207281154519,-0.006906872116512225,-0.06113207281154519,-0.09556873905415347,-0.029952597759407472,69,42,9
A4_HUMAN_Seuma_2022,20,ALL_TASKS,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,120,40,0.01671009144944869,0.004691237375347081,0.01671009144944869,0.008615995085190328,0.026586702435524818,75,36,9
A4_HUMAN_Seuma_2022,20,ALL_TASKS,strict_valley_success_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,60,20,0.0,0.0,0.0,0.0,0.0,0,60,0
A4_HUMAN_Seuma_2022,20,VALLEY_REQUIRED,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,60,20,-0.0650858916561797,0.0,-0.0650858916561797,-0.12427689585522571,-0.012462554662149444,27,30,3
A4_HUMAN_Seuma_2022,20,VALLEY_REQUIRED,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,60,20,0.017109684247437532,0.00012470895856630152,0.017109684247437536,0.0036009331593494795,0.0352450636950933,30,27,3
A4_HUMAN_Seuma_2022,20,VALLEY_REQUIRED,strict_valley_success_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,60,20,0.0,0.0,0.0,0.0,0.0,0,60,0
A4_HUMAN_Seuma_2022,20,NO_VALLEY_REQUIRED,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,60,20,-0.057178253966910675,-0.03758139876948921,-0.057178253966910675,-0.0914961584768913,-0.027438215193002987,42,12,6
A4_HUMAN_Seuma_2022,20,NO_VALLEY_REQUIRED,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,60,20,0.01631049865145984,0.013702889145912167,0.016310498651459844,0.00840371348270936,0.025857707890220353,45,9,6
A4_HUMAN_Seuma_2022,50,ALL_TASKS,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,120,40,-0.08260536826548147,-0.059533151897132125,-0.08260536826548147,-0.1198467452581936,-0.04888347753443319,72,36,12
A4_HUMAN_Seuma_2022,50,ALL_TASKS,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,120,40,0.023665675385876186,0.01482245108410821,0.02366567538587619,0.014257519415166797,0.03386997831834859,81,30,9
A4_HUMAN_Seuma_2022,50,ALL_TASKS,strict_valley_success_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,60,20,0.0,0.0,0.0,0.0,0.0,0,60,0
A4_HUMAN_Seuma_2022,50,VALLEY_REQUIRED,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,60,20,-0.07261406046720494,0.0,-0.07261406046720494,-0.13536184921583594,-0.01704137524615418,27,30,3
A4_HUMAN_Seuma_2022,50,VALLEY_REQUIRED,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,60,20,0.01768193097793989,0.00012470895856630152,0.01768193097793989,0.003864008701711999,0.03539778824839794,30,27,3
A4_HUMAN_Seuma_2022,50,VALLEY_REQUIRED,strict_valley_success_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,60,20,0.0,0.0,0.0,0.0,0.0,0,60,0
A4_HUMAN_Seuma_2022,50,NO_VALLEY_REQUIRED,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,60,20,-0.09259667606375799,-0.08570017969237839,-0.09259667606375802,-0.13216583375079796,-0.05474378071695388,45,6,9
A4_HUMAN_Seuma_2022,50,NO_VALLEY_REQUIRED,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,60,20,0.02964941979381248,0.029820495389837193,0.02964941979381248,0.018646457229896378,0.04009049378445732,51,3,6
A4_HUMAN_Seuma_2022,100,ALL_TASKS,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,120,40,-0.08260536826548147,-0.059533151897132125,-0.08260536826548147,-0.11926815733057057,-0.04931780213149862,72,36,12
A4_HUMAN_Seuma_2022,100,ALL_TASKS,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,120,40,0.023665675385876186,0.01482245108410821,0.02366567538587619,0.014217156475447449,0.03394185107560188,81,30,9
A4_HUMAN_Seuma_2022,100,ALL_TASKS,strict_valley_success_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,60,20,0.0,0.0,0.0,0.0,0.0,0,60,0
