start_state,oracle_target,valley_required,random_terminal,random_best_seen,random_steps,random_min_delta,random_downhill_steps,random_regret,greedy_terminal,greedy_best_seen,greedy_steps,greedy_min_delta,greedy_downhill_steps,greedy_regret,beam_terminal,beam_best_seen,beam_steps,beam_min_delta,beam_downhill_steps,beam_regret,lookahead_terminal,lookahead_best_seen,lookahead_steps,lookahead_min_delta,lookahead_downhill_steps,lookahead_regret,oracle_terminal,oracle_best_seen,oracle_steps,oracle_min_delta,oracle_downhill_steps,oracle_regret
6319,4052,False,30499.18490155184,30499.18490155184,3,0.0,0,3043.191534111058,33542.376435662896,33542.376435662896,2,2966.125193812106,0,0.0,32926.34098073132,32926.34098073132,3,369.4424012070813,0,616.0354549315743,31435.20814523737,33542.376435662896,3,-2107.168290425525,1,2107.168290425525,33542.376435662896,33542.376435662896,2,2966.125193812106,0,0.0
6540,13,True,26407.738866873235,26407.738866873235,3,-5040.874876861588,2,8827.366465356343,32754.239858463472,32754.239858463472,2,1529.9604947879852,0,2480.8654737661054,30885.959635985066,31297.69679002343,3,-411.7371540383647,1,4349.145696244512,35235.10533222958,35235.10533222958,3,-483.8402390245028,1,0.0,35235.10533222958,35235.10533222958,3,-483.8402390245028,1,0.0
7035,4654,False,28927.529377140472,28927.529377140472,3,-3532.2316617831675,1,5371.9616663732195,34299.49104351369,34299.49104351369,2,5426.115290958955,0,0.0,33237.00342767977,34299.49104351369,3,-1062.4876158339248,1,1062.4876158339248,33237.00342767977,34299.49104351369,3,-1062.4876158339248,1,1062.4876158339248,34299.49104351369,34299.49104351369,2,5426.115290958955,0,0.0
7151,7189,False,29376.286832574657,31556.48594747628,3,-1291.8055942918727,2,4762.58208605419,34138.86891862885,34138.86891862885,2,2582.382971152565,0,0.0,32622.00028062193,33994.36253429883,3,-1372.3622536768999,1,1516.8686380069157,30639.62648711472,34138.86891862885,3,-3499.242431514125,1,3499.242431514125,34138.86891862885,34138.86891862885,2,2582.382971152565,0,0.0
7383,4642,False,27033.39888912233,31313.03859938632,3,-2635.775059962696,2,8724.925896094293,35758.324785216624,35758.324785216624,2,1310.3057179084208,0,0.0,33237.00342767977,35758.324785216624,3,-2521.3213575368572,1,2521.3213575368572,33237.00342767977,35758.324785216624,3,-2521.3213575368572,1,2521.3213575368572,35758.324785216624,35758.324785216624,2,1310.3057179084208,0,0.0
7713,577,False,28873.375752554737,28873.375752554737,3,-2791.149701127011,1,8209.457074871625,32967.27471428967,32967.27471428967,3,1047.4857589947096,0,4115.558113136693,37082.83282742636,37082.83282742636,3,4152.125110557878,0,0.0,37082.83282742636,37082.83282742636,3,4152.125110557878,0,0.0,37082.83282742636,37082.83282742636,3,4152.125110557878,0,0.0
8322,212,True,29952.412985086023,30750.099352799247,3,-1588.3964085167681,1,2650.021048855204,30750.099352799247,30750.099352799247,1,525.1225645667473,0,1852.3346811419797,32602.434033941227,32602.434033941227,3,-2080.4775064571513,2,0.0,32602.434033941227,32602.434033941227,3,-2080.4775064571513,2,0.0,32602.434033941227,32602.434033941227,3,-2080.4775064571513,2,0.0
8437,8445,False,29914.1732345659,30797.125517672,3,-3290.0940661048007,1,6211.884093734694,36126.057328300594,36126.057328300594,2,5328.931810628594,0,0.0,31673.184174414982,36126.057328300594,3,-4452.873153885612,1,4452.873153885612,31673.184174414982,36126.057328300594,3,-4452.873153885612,1,4452.873153885612,36126.057328300594,36126.057328300594,2,5328.931810628594,0,0.0
8455,8445,False,30878.27070017486,30878.27070017486,3,-1117.7859084645133,1,5247.786628125734,36126.057328300594,36126.057328300594,2,3290.0940661048007,0,0.0,31673.184174414982,36126.057328300594,3,-4452.873153885612,1,4452.873153885612,31673.184174414982,36126.057328300594,3,-4452.873153885612,1,4452.873153885612,36126.057328300594,36126.057328300594,2,3290.0940661048007,0,0.0
8456,8445,False,27750.553137371928,30797.125517672,3,-8165.705539086321,1,8375.504190928667,36126.057328300594,36126.057328300594,2,5041.670346545048,0,0.0,31673.184174414982,36126.057328300594,3,-4452.873153885612,1,4452.873153885612,31673.184174414982,36126.057328300594,3,-4452.873153885612,1,4452.873153885612,36126.057328300594,36126.057328300594,2,5041.670346545048,0,0.0
